query_id,query,query_seg,query_category,doc_id,doc,doc_seg,doc_category,similarities,adjusted_Category,adjusted_Category_count,query_CategoryName_count
5f714dea3cd0e4279c275df7,請問本校讀者如何利用「自動化書庫特殊館藏」、「自動化書庫參考書」？,請問_本校_讀者_如何_利用_「_自動化_書庫_特殊_館藏_」_、_「_自動化_書庫_參考書_」_？,借閱規則及服務,5f714dea3cd0e4279c275df7,請問本校讀者如何利用「自動化書庫特殊館藏」、「自動化書庫參考書」？,請問_本校_讀者_如何_利用_「_自動化_書庫_特殊_館藏_」_、_「_自動化_書庫_參考書_」_？,借閱規則及服務,1.0000000000000002,借閱規則及服務,70,70
5f714dea3cd0e4279c275df8,無借書權利的校友或校外人士，可使用自動化書庫的館藏嗎？,無_借書_權利_的_校友_或_校外_人士_，_可_使用_自動化_書庫_的_館藏_嗎_？,借閱規則及服務,5f714dea3cd0e4279c275df8,無借書權利的校友或校外人士，可使用自動化書庫的館藏嗎？,無_借書_權利_的_校友_或_校外_人士_，_可_使用_自動化_書庫_的_館藏_嗎_？,借閱規則及服務,1.0,借閱規則及服務,70,70
5f714dea3cd0e4279c275df9,自動化書庫在哪裡？,自動化_書庫_在哪裡_？,館藏資料位置,5f714dea3cd0e4279c275df9,自動化書庫在哪裡？,自動化_書庫_在哪裡_？,館藏資料位置,1.0,館藏資料位置,38,38
5f714dea3cd0e4279c275dfa,本校讀者預約自動化書庫的館藏，多久後可以取書？,本校_讀者_預約_自動化_書庫_的_館藏_，_多久_後_可以_取書_？,借閱規則及服務,5f714dea3cd0e4279c275dfa,本校讀者預約自動化書庫的館藏，多久後可以取書？,本校_讀者_預約_自動化_書庫_的_館藏_，_多久_後_可以_取書_？,借閱規則及服務,1.0000000000000002,借閱規則及服務,70,70
5f714dea3cd0e4279c275dfb,請問本校讀者如何利用自動化書庫的一般館藏？,請問_本校_讀者_如何_利用_自動化_書庫_的_一般_館藏_？,借閱規則及服務,5f714dea3cd0e4279c275dfb,請問本校讀者如何利用自動化書庫的一般館藏？,請問_本校_讀者_如何_利用_自動化_書庫_的_一般_館藏_？,借閱規則及服務,1.0,借閱規則及服務,70,70
5f714dea3cd0e4279c275dfc,為什麼圖書館不接受我的預約？,為什麼_圖書館_不_接受_我_的_預約_？,借閱規則及服務,5f714dea3cd0e4279c275dfc,為什麼圖書館不接受我的預約？,為什麼_圖書館_不_接受_我_的_預約_？,借閱規則及服務,1.0000000000000002,借閱規則及服務,70,70
5f714dea3cd0e4279c275dfc,為什麼圖書館不接受我的預約？,為什麼_圖書館_不_接受_我_的_預約_？,借閱規則及服務,5f4c7fe531573f12b4785288,為什麼圖書館不接受我的預約?,為什麼_圖書館_不_接受_我_的_預約_?,館藏使用規則,0.963499133869535,借閱規則及服務,70,70
5f714dea3cd0e4279c275dfc,為什麼圖書館不接受我的預約？,為什麼_圖書館_不_接受_我_的_預約_？,借閱規則及服務,5f48b013d4c05a2478175693,為什麼圖書館不接受我的線上預約申請？,為什麼_圖書館_不_接受_我_的_線上_預約_申請_？,預約,0.8616193260095282,借閱規則及服務,70,70
5f714dea3cd0e4279c275dfd,查詢國內外博碩士論文資料應使用那些資料庫？,查詢_國內外_博碩士論文_資料_應_使用_那些_資料庫_？,如何查詢學位論文,5f714dea3cd0e4279c275dfd,查詢國內外博碩士論文資料應使用那些資料庫？,查詢_國內外_博碩士論文_資料_應_使用_那些_資料庫_？,如何查詢學位論文,1.0,查找館藏資料,7,1
5f714dea3cd0e4279c275dfd,查詢國內外博碩士論文資料應使用那些資料庫？,查詢_國內外_博碩士論文_資料_應_使用_那些_資料庫_？,如何查詢學位論文,5f4c7fe531573f12b47852b1,查詢國內外博碩士論文資料應使用那些資料庫？,查詢_國內外_博碩士論文_資料_應_使用_那些_資料庫_？,查找館藏資料,1.0,查找館藏資料,7,1
5f714dea3cd0e4279c275dfe,請問如何調閱閉架書庫的圖書和期刊？（研圖、舊總圖、總圖B1專藏文庫、總圖B1閉架書庫、徐州閉架書庫）,請問_如何_調閱_閉架_書庫_的_圖書_和_期刊_？_（_研圖_、_舊總圖_、_總圖_B1_專藏_文庫_、_總圖_B1_閉架_書庫_、_徐州_閉架_書庫_）,館藏資料位置,5f714dea3cd0e4279c275dfe,請問如何調閱閉架書庫的圖書和期刊？（研圖、舊總圖、總圖B1專藏文庫、總圖B1閉架書庫、徐州閉架書庫）,請問_如何_調閱_閉架_書庫_的_圖書_和_期刊_？_（_研圖_、_舊總圖_、_總圖_B1_專藏_文庫_、_總圖_B1_閉架_書庫_、_徐州_閉架_書庫_）,館藏資料位置,1.0000000000000002,館藏資料位置,38,38
5f714dea3cd0e4279c275dff,我的畢業論文不到20頁，要放在書背側邊的校名與系所有兩行字、論文題目也很長，請問應如何調整內容以利印製？,我_的_畢業_論文_不到_20_頁_，_要_放在_書背_側邊_的_校名_與_系所_有_兩_行_字_、_論文_題目_也_很_長_，_請問_應_如何_調整_內容_以利_印製_？,論文繳交與畢業離校,5f714dea3cd0e4279c275dff,我的畢業論文不到20頁，要放在書背側邊的校名與系所有兩行字、論文題目也很長，請問應如何調整內容以利印製？,我_的_畢業_論文_不到_20_頁_，_要_放在_書背_側邊_的_校名_與_系所_有_兩_行_字_、_論文_題目_也_很_長_，_請問_應_如何_調整_內容_以利_印製_？,論文繳交與畢業離校,0.9999999999999999,論文繳交與畢業離校,34,34
5f714dea3cd0e4279c275e00,送印紙本論文須注意哪些項目？,送_印紙_本_論文_須_注意_哪些_項目_？,論文繳交與畢業離校,5f714dea3cd0e4279c275e00,送印紙本論文須注意哪些項目？,送_印紙_本_論文_須_注意_哪些_項目_？,論文繳交與畢業離校,1.0,論文繳交與畢業離校,34,34
5f714dea3cd0e4279c275e01,畢業論文的字體大小和版面間距，一定要按格式規範的尺寸嗎？,畢業_論文_的_字體_大小_和_版面_間距_，_一定_要_按_格式_規範_的_尺寸_嗎_？,論文繳交與畢業離校,5f714dea3cd0e4279c275e01,畢業論文的字體大小和版面間距，一定要按格式規範的尺寸嗎？,畢業_論文_的_字體_大小_和_版面_間距_，_一定_要_按_格式_規範_的_尺寸_嗎_？,論文繳交與畢業離校,1.0,論文繳交與畢業離校,34,34
5f714dea3cd0e4279c275e02,畢業論文多少頁以下才可以單面印刷？,畢業_論文_多少_頁_以下_才_可以_單面_印刷_？,論文繳交與畢業離校,5f714dea3cd0e4279c275e02,畢業論文多少頁以下才可以單面印刷？,畢業_論文_多少_頁_以下_才_可以_單面_印刷_？,論文繳交與畢業離校,1.0,論文繳交與畢業離校,34,34
5f714dea3cd0e4279c275e03,我想查的台大博碩士論文沒有電子全文怎麼辦？,我_想_查_的_台大_博碩士論文_沒有_電子_全文_怎麼辦_？,館藏資料位置,5f714dea3cd0e4279c275e03,我想查的台大博碩士論文沒有電子全文怎麼辦？,我_想_查_的_台大_博碩士論文_沒有_電子_全文_怎麼辦_？,館藏資料位置,1.0,館藏資料位置,38,38
5f714dea3cd0e4279c275e04,畢業論文封面和內文格式的相關規定？,畢業_論文_封面_和_內文_格式_的_相關_規定_？,論文繳交與畢業離校,5f714dea3cd0e4279c275e04,畢業論文封面和內文格式的相關規定？,畢業_論文_封面_和_內文_格式_的_相關_規定_？,論文繳交與畢業離校,1.0000000000000002,論文繳交與畢業離校,34,34
5f714dea3cd0e4279c275e05,請問博碩士論文在哪裡？,請問_博碩士論文_在哪裡_？,館藏資料位置,5f714dea3cd0e4279c275e05,請問博碩士論文在哪裡？,請問_博碩士論文_在哪裡_？,館藏資料位置,1.0000000000000002,館藏資料位置,38,38
5f714dea3cd0e4279c275e06,總圖書館的公共電話在哪裡？（投幣式、IC卡式）,總_圖書館_的_公共_電話_在哪裡_？_（_投幣式_、_IC卡式_）,場地設備及網路,5f714dea3cd0e4279c275e06,總圖書館的公共電話在哪裡？（投幣式、IC卡式）,總_圖書館_的_公共_電話_在哪裡_？_（_投幣式_、_IC卡式_）,場地設備及網路,1.0,場地設備及網路,17,17
5f714dea3cd0e4279c275e07,常見的館藏地/館藏狀態資訊 (SLIM雲端圖書館自動化系統),常見_的_館藏地_/_館藏_狀態_資訊_ _(_SLIM_雲端_圖書館_自動化系統_),如何使用館藏目錄,5f714dea3cd0e4279c275e07,常見的館藏地/館藏狀態資訊 (SLIM雲端圖書館自動化系統),常見_的_館藏地_/_館藏_狀態_資訊_ _(_SLIM_雲端_圖書館_自動化系統_),如何使用館藏目錄,1.0,如何使用館藏目錄,19,19
5f714dea3cd0e4279c275e08,如何自行於線上續借？,如何_自行_於_線上_續借_？,借閱規則及服務,5f714dea3cd0e4279c275e08,如何自行於線上續借？,如何_自行_於_線上_續借_？,借閱規則及服務,1.0000000000000002,借閱規則及服務,70,70
5f714dea3cd0e4279c275e09,Airiti 華藝線上圖書館透過校外連線VPN無法下載文獻，怎麼辦？,Airiti _華藝_線上_圖書館_透過_校外_連線_VPN_無法_下載_文獻_，_怎麼辦_？,如何使用資料庫,5f714dea3cd0e4279c275e09,Airiti 華藝線上圖書館透過校外連線VPN無法下載文獻，怎麼辦？,Airiti _華藝_線上_圖書館_透過_校外_連線_VPN_無法_下載_文獻_，_怎麼辦_？,如何使用資料庫,0.9999999999999998,如何使用資料庫,28,28
5f714dea3cd0e4279c275e0a,Airiti 華藝線上圖書館的登入問題,Airiti _華藝_線上_圖書館_的_登入_問題,如何使用資料庫,5f714dea3cd0e4279c275e0a,Airiti 華藝線上圖書館的登入問題,Airiti _華藝_線上_圖書館_的_登入_問題,如何使用資料庫,1.0000000000000002,如何使用資料庫,28,28
5f714dea3cd0e4279c275e0b,查詢新聞報紙應使用那些資料庫？,查詢_新聞_報紙_應_使用_那些_資料庫_？,如何使用資料庫,5f714dea3cd0e4279c275e0b,查詢新聞報紙應使用那些資料庫？,查詢_新聞_報紙_應_使用_那些_資料庫_？,如何使用資料庫,1.0000000000000002,如何使用資料庫,28,28
5f714dea3cd0e4279c275e0c,VPN一直停在「正在保護連線安全」狀態，如何解決？,VPN_一直_停_在_「_正在保護連線安全_」_狀態_，_如何_解決_？,校外連線VPN,5f714dea3cd0e4279c275e0c,VPN一直停在「正在保護連線安全」狀態，如何解決？,VPN_一直_停_在_「_正在保護連線安全_」_狀態_，_如何_解決_？,校外連線VPN,1.0,校外連線VPN,28,28
5f714dea3cd0e4279c275e0c,VPN一直停在「正在保護連線安全」狀態，如何解決？,VPN_一直_停_在_「_正在保護連線安全_」_狀態_，_如何_解決_？,校外連線VPN,5f714dea3cd0e4279c275ef2,VPN一直停在「正在保護連線安全」狀態，如何解決？,VPN_一直_停_在_「_正在保護連線安全_」_狀態_，_如何_解決_？,校外連線VPN,1.0,校外連線VPN,28,28
5f714dea3cd0e4279c275e0d,已經登入並連上VPN，但之後無法連上網頁，會反覆重新連線？,已經_登入_並_連上_VPN_，_但_之後_無法_連上_網頁_，_會_反覆_重新_連線_？,校外連線VPN,5f714dea3cd0e4279c275e0d,已經登入並連上VPN，但之後無法連上網頁，會反覆重新連線？,已經_登入_並_連上_VPN_，_但_之後_無法_連上_網頁_，_會_反覆_重新_連線_？,校外連線VPN,1.0,校外連線VPN,28,28
5f714dea3cd0e4279c275e0e,設定校外連線 VPN 後網路就斷了？,設定_校外_連線_ VPN _後_網路_就_斷_了_？,校外連線VPN,5f714dea3cd0e4279c275e0e,設定校外連線 VPN 後網路就斷了？,設定_校外_連線_ VPN _後_網路_就_斷_了_？,校外連線VPN,1.0000000000000002,校外連線VPN,28,28
5f714dea3cd0e4279c275e0f,VPN出現「未能連線至 pulse secure統一網路服務」的錯誤訊息？,VPN_出現_「_未_能_連線至_ pulse secure_統一_網路_服務_」_的_錯誤_訊息_？,校外連線VPN,5f714dea3cd0e4279c275e0f,VPN出現「未能連線至 pulse secure統一網路服務」的錯誤訊息？,VPN_出現_「_未_能_連線至_ pulse secure_統一_網路_服務_」_的_錯誤_訊息_？,校外連線VPN,1.0,校外連線VPN,28,28
5f714dea3cd0e4279c275e10,我的電腦只有Adobe Reader版，哪裡有 Adobe Acrobat Pro軟體可進行論文加浮水印、DOI碼？,我_的_電腦_只有_Adobe _Reader_版_，_哪裡_有_ Adobe Acrobat Pro_軟體_可_進行_論文_加_浮水印_、_DOI_碼_？,場地設備及網路,5f714dea3cd0e4279c275e10,我的電腦只有Adobe Reader版，哪裡有 Adobe Acrobat Pro軟體可進行論文加浮水印、DOI碼？,我_的_電腦_只有_Adobe _Reader_版_，_哪裡_有_ Adobe Acrobat Pro_軟體_可_進行_論文_加_浮水印_、_DOI_碼_？,場地設備及網路,1.0,場地設備及網路,17,17
